"동별","가구원수별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"창신3동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","421","","","","",
"창신3동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","102","","","","",
"창신3동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","20","","","","",
"창신3동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"숭인1동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2622","","","","",
"숭인1동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1007","","","","",
"숭인1동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","749","","","","",
"숭인1동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","473","","","","",
"숭인1동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","289","","","","",
"숭인1동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","78","","","","",
"숭인1동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","20","","","","",
"숭인1동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","6","","","","",
"숭인2동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","5065","","","","",
"숭인2동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2988","","","","",
"숭인2동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1080","","","","",
"숭인2동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","539","","","","",
"숭인2동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","357","","","","",
"숭인2동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","80","","","","",
"숭인2동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","16","","","","",
"숭인2동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","5","","","","",
"중구","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","55093","56116","56260","59265","59849",
"중구","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","22818","24544","25247","28293","28968",
"중구","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","14978","15118","15189","15470","15780",
